Data Source,KPI Name,KPI Category,Target,Source Type,KPI Count for this Source
CI/CD Pipeline Analytics,Automation Coverage %,Operational Efficiency & Automation,>80% of routine processes automated,Secondary,4
CI/CD Pipeline Analytics,Change Success Rate,Operational Efficiency & Automation,>95% success rate,Primary,4
CI/CD Pipeline Analytics,Cost per Service/Application,Cost Optimization & Financial Management,Downward trend month-over-month,Secondary,4
CI/CD Pipeline Analytics,Deployment Frequency,Resource & Performance Management,"Daily deployments for non-critical, weekly for critical",Primary,4
Application Performance Monitoring (APM),Cost per Service/Application,Cost Optimization & Financial Management,Downward trend month-over-month,Primary,3
Application Performance Monitoring (APM),Mean Time to Recovery (MTTR),Operational Efficiency & Automation,<4 hours for critical services,Secondary,3
Application Performance Monitoring (APM),Service Availability/Uptime %,Operational Efficiency & Automation,99.9% for critical services,Primary,3
Change Management Systems,Change Success Rate,Operational Efficiency & Automation,>95% success rate,Primary,3
Change Management Systems,Time to Market for New Services,Service Delivery & Customer Experience,30% reduction year-over-year,Secondary,3
Change Management Systems,Vulnerability Patching Time,Security & Compliance,<72 hours for critical vulnerabilities,Secondary,3
Cloud Cost Management Platforms,Cloud Spend Optimization Rate,Cost Optimization & Financial Management,>85% of resources optimized,Primary,3
Cloud Cost Management Platforms,Cost per Service/Application,Cost Optimization & Financial Management,Downward trend month-over-month,Primary,3
Cloud Cost Management Platforms,Total Cost of Ownership (TCO) Reduction %,Cost Optimization & Financial Management,10-15% annual reduction,Primary,3
Configuration Management Tools,Automation Coverage %,Operational Efficiency & Automation,>80% of routine processes automated,Secondary,3
Configuration Management Tools,Infrastructure Standardization Rate,Resource & Performance Management,>90% standardization,Primary,3
Configuration Management Tools,Vulnerability Patching Time,Security & Compliance,<72 hours for critical vulnerabilities,Secondary,3
Deployment Automation Platforms,Change Success Rate,Operational Efficiency & Automation,>95% success rate,Primary,3
Deployment Automation Platforms,Deployment Frequency,Resource & Performance Management,"Daily deployments for non-critical, weekly for critical",Primary,3
Deployment Automation Platforms,Time to Market for New Services,Service Delivery & Customer Experience,30% reduction year-over-year,Secondary,3
Asset Discovery Tools,Infrastructure Standardization Rate,Resource & Performance Management,>90% standardization,Primary,2
Asset Discovery Tools,Vulnerability Patching Time,Security & Compliance,<72 hours for critical vulnerabilities,Primary,2
Contract Management Systems,Service Level Agreement (SLA) Compliance,Service Delivery & Customer Experience,>99% compliance,Secondary,2
Contract Management Systems,Total Cost of Ownership (TCO) Reduction %,Cost Optimization & Financial Management,10-15% annual reduction,Secondary,2
